transaction_date,description,debit,credit,balance
2026-05-13,NETFLIX.COM,26.63,,730.34
2026-05-13,SHERWOOD CO-OP #04,33.53,,703.71
2026-05-13,SQ *CREME CAFES GLASSLAND,11.3,,670.18
2026-05-13,SQ *STREET CULTURE PROJEC,6.93,,658.88
2026-05-11,BELL MOBILITY,63.46,,651.95
2026-05-10,SAFEWAY #4887,81.66,,588.49
2026-05-10,CANADIAN TIRE #310,17.75,,506.83
2026-05-09,APPLE.COM/BILL,1.43,,489.08
2026-05-09,#329 SPORT CHEK,128.74,,487.65
2026-05-09,LS THE FRENCH PRESS C,8.68,,358.91
2026-05-09,SP THREEFORAGERS-CA-33,86.4,,350.23
2026-05-08,SQ *STREET CULTURE PROJEC,15.06,,263.83
2026-05-08,SOBEYS LIQUOR #8978,27.06,,248.77
2026-05-07,MCDONALD'S #1331,7.08,,221.71
2026-05-07,COMIC READERS (DOWNTOWN),17.74,,214.63
2026-05-07,SQ *BON SUSHI,56.7,,196.89
2026-05-07,PAYMENT - THANK YOU,,2943.38,140.19
2026-05-06,SAVE ON FOODS #5505,28.53,,3083.57
2026-05-06,DISTRICT 306 TACTICAL LA,27.75,,3055.04
2026-05-04,QUAN NGON VIETNAMESE REST,47.5,,3027.29
2026-05-03,SAVE ON FOODS #5505,13.55,,2979.79
2026-05-02,SAFEWAY #4887,22.86,,2966.24
